"category","categoryKey","id","name","modelFile","thumbFile","sizeMB","sourceUrl","sourceThumb"
"场景","CJ","e281c4a2-602f-499c-ab8b-c64ccdb2f208","八角塔","models/e281c4a2-602f-499c-ab8b-c64ccdb2f208.gltf","thumbnails/e281c4a2-602f-499c-ab8b-c64ccdb2f208.png","23.01","https://rh-canvas-files.xiaoyaoyou.com/default/director/c841825c-dd19-4782-92ee-8661b71a6e05.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/f9b3fa5e-6b94-4938-9e50-74af179dbf6c.png"
"场景","CJ","f332e6c6-57f3-48ff-adfc-7083c628e3ea","城楼","models/f332e6c6-57f3-48ff-adfc-7083c628e3ea.gltf","thumbnails/f332e6c6-57f3-48ff-adfc-7083c628e3ea.png","0.85","https://rh-canvas-files.xiaoyaoyou.com/default/director/c3164e35-321b-4eb2-93fa-ad880a8ba1b2.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/ed7d6f5c-e43f-4856-a684-bad2c65f5548.png"
"场景","CJ","25e2a7b7-3e9f-4d37-b56c-7c02bb630116","城墙","models/25e2a7b7-3e9f-4d37-b56c-7c02bb630116.gltf","thumbnails/25e2a7b7-3e9f-4d37-b56c-7c02bb630116.png","0.13","https://rh-canvas-files.xiaoyaoyou.com/default/director/92d4f336-edeb-43d3-9f63-b9bd92a3d229.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/081095be-5be6-4730-922d-0dd75eefb11c.png"
"场景","CJ","3647b38e-2150-4393-99eb-a1384290c41f","大殿","models/3647b38e-2150-4393-99eb-a1384290c41f.gltf","thumbnails/3647b38e-2150-4393-99eb-a1384290c41f.png","1.01","https://rh-canvas-files.xiaoyaoyou.com/default/director/4d54a29b-994a-40b5-ae78-1556c170926a.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/a4fa9c13-0d25-441b-94ba-7cb99172d426.png"
"场景","CJ","921d8749-18cd-4489-b3b8-9a19f0fe4a15","牌坊","models/921d8749-18cd-4489-b3b8-9a19f0fe4a15.gltf","thumbnails/921d8749-18cd-4489-b3b8-9a19f0fe4a15.png","52.25","https://rh-canvas-files.xiaoyaoyou.com/default/director/0aafc847-a552-4867-952d-909d267f8b94.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/5a57dc6c-d5a4-4f11-8001-24c6ba526a2c.png"
"场景","CJ","adb34282-a6db-41f4-a4a2-36eb055f8431","建筑01","models/adb34282-a6db-41f4-a4a2-36eb055f8431.gltf","thumbnails/adb34282-a6db-41f4-a4a2-36eb055f8431.png","28.13","https://rh-canvas-files.xiaoyaoyou.com/default/director/30dd1ff9-8b9d-44c0-a83e-f4816cb78f6d.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/f87f574b-0efe-4b57-a7b0-c2aadc17ac5e.png"
"场景","CJ","5ca4f0b9-8156-4bbb-95c0-31cddc7e31cf","建筑02","models/5ca4f0b9-8156-4bbb-95c0-31cddc7e31cf.gltf","thumbnails/5ca4f0b9-8156-4bbb-95c0-31cddc7e31cf.png","5.89","https://rh-canvas-files.xiaoyaoyou.com/default/director/5dbac765-b642-492b-947c-e42d5343cd58.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/982961db-e0d0-4aa9-9da1-c84726fdd423.png"
"场景","CJ","28cbaa17-db61-4289-be1c-00c714a771f3","概念场景","models/28cbaa17-db61-4289-be1c-00c714a771f3.gltf","thumbnails/28cbaa17-db61-4289-be1c-00c714a771f3.png","51.05","https://rh-canvas-files.xiaoyaoyou.com/default/director/955c9ebe-e1df-4ced-8958-38ea74410a47.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/43135582-7e3d-47b7-8bd0-1a1a19902ca2.png"
"场景","CJ","01831e6b-4419-475f-878f-dbf2c77c80a6","概念场景01","models/01831e6b-4419-475f-878f-dbf2c77c80a6.gltf","thumbnails/01831e6b-4419-475f-878f-dbf2c77c80a6.png","2.89","https://rh-canvas-files.xiaoyaoyou.com/default/director/d9e9ba9a-f611-4af2-8811-68137d73a96f.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/f6f9d6ec-8027-4b6c-b9b1-ecf978c318a4.png"
"交通工具","JT","5e144b69-90e6-4624-a5c6-18596991348c","轰炸机","models/5e144b69-90e6-4624-a5c6-18596991348c.gltf","thumbnails/5e144b69-90e6-4624-a5c6-18596991348c.png","21.62","https://rh-canvas-files.xiaoyaoyou.com/default/director/540b07d2-be5f-4809-a1ae-5d60a6c53b5a.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/0f3e222a-1907-4313-bb25-078cf8a9dc49.png"
"交通工具","JT","760f7b5d-d6b9-4fa3-a5ac-5969c65b19cf","客机","models/760f7b5d-d6b9-4fa3-a5ac-5969c65b19cf.gltf","thumbnails/760f7b5d-d6b9-4fa3-a5ac-5969c65b19cf.png","0.63","https://rh-canvas-files.xiaoyaoyou.com/default/director/cfdf0749-8f69-485f-bc89-52cfc8055c11.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/59b0cea5-62a6-4629-9329-e84ad7e1345f.png"
"交通工具","JT","a3ba6b83-56b0-4483-bbd1-410cbf2c5179","无人机","models/a3ba6b83-56b0-4483-bbd1-410cbf2c5179.gltf","thumbnails/a3ba6b83-56b0-4483-bbd1-410cbf2c5179.png","33.16","https://rh-canvas-files.xiaoyaoyou.com/default/director/d620e4e3-1981-4136-ba95-89fffb071662.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/bcf02c86-cb98-462f-b8ff-ae074071ab75.png"
"交通工具","JT","74c5d5d6-3510-4dbb-a36e-f7f9d784bf85","战斗机","models/74c5d5d6-3510-4dbb-a36e-f7f9d784bf85.gltf","thumbnails/74c5d5d6-3510-4dbb-a36e-f7f9d784bf85.png","12.24","https://rh-canvas-files.xiaoyaoyou.com/default/director/2f563029-465c-4474-8fac-dfc038ab4319.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/70e25509-4271-4fcb-bf4b-98a8722103d3.png"
"交通工具","JT","1434bfe7-cebd-4229-b0f1-cfe34f0358ff","直升机","models/1434bfe7-cebd-4229-b0f1-cfe34f0358ff.gltf","thumbnails/1434bfe7-cebd-4229-b0f1-cfe34f0358ff.png","48.08","https://rh-canvas-files.xiaoyaoyou.com/default/director/af1f9f10-7f4d-4877-bdb4-cc487d6a9e49.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/2a134756-c18e-4338-b086-13b243b902d1.png"
"交通工具","JT","3b71c875-f8fd-461f-a3fc-c2ba7390a77a","轿车","models/3b71c875-f8fd-461f-a3fc-c2ba7390a77a.gltf","thumbnails/3b71c875-f8fd-461f-a3fc-c2ba7390a77a.png","25.25","https://rh-canvas-files.xiaoyaoyou.com/default/director/ca171329-1a22-45d1-b554-73c71374d2f1.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/d56c3cea-37b5-4838-9ec6-13b3ea7bc384.png"
"交通工具","JT","0488451e-4367-43f9-a091-763a4faa8520","轿车01","models/0488451e-4367-43f9-a091-763a4faa8520.gltf","thumbnails/0488451e-4367-43f9-a091-763a4faa8520.png","18.29","https://rh-canvas-files.xiaoyaoyou.com/default/director/bf346a16-d4cd-443e-ba99-b1954102978d.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/a409e508-79f0-434c-9251-3630128a4593.png"
"交通工具","JT","d67a45d7-d582-49c4-b902-ebc5f9699012","公交车","models/d67a45d7-d582-49c4-b902-ebc5f9699012.gltf","thumbnails/d67a45d7-d582-49c4-b902-ebc5f9699012.png","2.58","https://rh-canvas-files.xiaoyaoyou.com/default/director/a058c857-ef97-4d5d-8bb1-d90da1f69393.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/fcca76b1-86e4-4ae9-a636-9bdaf7a608e8.png"
"交通工具","JT","3af1cc50-22b2-4fcf-a0d8-fd289f2ba3f1","货车","models/3af1cc50-22b2-4fcf-a0d8-fd289f2ba3f1.gltf","thumbnails/3af1cc50-22b2-4fcf-a0d8-fd289f2ba3f1.png","4.76","https://rh-canvas-files.xiaoyaoyou.com/default/director/483c5857-a84a-48a2-8d7f-e19ec2cee1bc.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/2958e1e7-6eaf-4803-9de0-dae9371b385e.png"
"交通工具","JT","d2a4400a-a8eb-45bb-acdf-2c04d354e25c","摩托车","models/d2a4400a-a8eb-45bb-acdf-2c04d354e25c.gltf","thumbnails/d2a4400a-a8eb-45bb-acdf-2c04d354e25c.png","42.2","https://rh-canvas-files.xiaoyaoyou.com/default/director/045f81d0-08c5-43a5-a9fe-97daeafbeab5.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/9b0c4a53-3e05-49ba-bcc3-18ada9b95fe9.png"
"交通工具","JT","fb85e8f0-9a07-4f72-810d-d1a32d734b1e","坦克","models/fb85e8f0-9a07-4f72-810d-d1a32d734b1e.gltf","thumbnails/fb85e8f0-9a07-4f72-810d-d1a32d734b1e.png","16.97","https://rh-canvas-files.xiaoyaoyou.com/default/director/a999ef03-91a8-4a04-8281-446dc31d9fdd.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/54834fa5-77ab-46f7-b519-a71f9e6b072e.png"
"交通工具","JT","27b829d0-bc37-475d-a1c0-a414df15047f","自行车","models/27b829d0-bc37-475d-a1c0-a414df15047f.gltf","thumbnails/27b829d0-bc37-475d-a1c0-a414df15047f.png","33.82","https://rh-canvas-files.xiaoyaoyou.com/default/director/060b6513-333b-4128-a6e3-506389c7a6da.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/e588c317-27f1-4e15-bc2a-ac73df06eed5.png"
"交通工具","JT","85bf3fcd-4666-4ea7-ba78-4d683906885b","轮船","models/85bf3fcd-4666-4ea7-ba78-4d683906885b.gltf","thumbnails/85bf3fcd-4666-4ea7-ba78-4d683906885b.png","1.38","https://rh-canvas-files.xiaoyaoyou.com/default/director/d204c4a8-0d3c-4353-b707-259aa7b8c0e2.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/25e8a9c7-c40b-43ec-bddc-068dbd0723f5.png"
"交通工具","JT","077fee3f-4f3a-4a42-8aea-dd70aa1c1e88","潜艇","models/077fee3f-4f3a-4a42-8aea-dd70aa1c1e88.gltf","thumbnails/077fee3f-4f3a-4a42-8aea-dd70aa1c1e88.png","74.5","https://rh-canvas-files.xiaoyaoyou.com/default/director/335cac1f-904d-45ec-828c-a80052b61be6.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/ac148633-7f7c-482d-81ca-a9c0628653b5.png"
"交通工具","JT","f1f1bad8-bfa6-4054-9848-af48359254ad","游艇","models/f1f1bad8-bfa6-4054-9848-af48359254ad.gltf","thumbnails/f1f1bad8-bfa6-4054-9848-af48359254ad.png","10.68","https://rh-canvas-files.xiaoyaoyou.com/default/director/b4f2ffeb-f873-4d6e-b0a7-d76e98c48e47.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/bb3884c2-6af4-4dc9-8460-214bbcc5a99a.png"
"交通工具","JT","925e2d14-5786-48ce-8d25-767d86e0c0d0","轿子","models/925e2d14-5786-48ce-8d25-767d86e0c0d0.gltf","thumbnails/925e2d14-5786-48ce-8d25-767d86e0c0d0.png","7.85","https://rh-canvas-files.xiaoyaoyou.com/default/director/d26283b8-0b8e-4555-b6eb-c633f0951a35.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/07232f52-84fe-4dce-bf02-4e5bb53f4dbc.png"
"交通工具","JT","f8579bcf-2c82-4ea5-b113-00ddb8d6da53","骆驼","models/f8579bcf-2c82-4ea5-b113-00ddb8d6da53.gltf","thumbnails/f8579bcf-2c82-4ea5-b113-00ddb8d6da53.png","7.17","https://rh-canvas-files.xiaoyaoyou.com/default/director/3c17389d-40a8-45d0-978e-69a3888b763c.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/103a06e5-c04e-4305-8fef-af4402cb8e55.png"
"交通工具","JT","f46e75c6-290a-4ab9-b3ab-1f90b7854de8","马车01","models/f46e75c6-290a-4ab9-b3ab-1f90b7854de8.gltf","thumbnails/f46e75c6-290a-4ab9-b3ab-1f90b7854de8.png","6.22","https://rh-canvas-files.xiaoyaoyou.com/default/director/f516a765-3ef4-41aa-866a-0c379034a1e7.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/d4367118-11d8-4449-a545-c51acb54737b.png"
"交通工具","JT","b7e556a9-77fa-41e6-a5d7-2f5c14258cd7","马车02","models/b7e556a9-77fa-41e6-a5d7-2f5c14258cd7.gltf","thumbnails/b7e556a9-77fa-41e6-a5d7-2f5c14258cd7.png","6.72","https://rh-canvas-files.xiaoyaoyou.com/default/director/496ec95e-d325-4000-80b2-fbc4aac6b6d2.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/f7dcb670-6ac9-40fb-88d4-1ab2432cf1b8.png"
"交通工具","JT","eecbd928-c4d2-4198-ae18-3d23a6f12480","独木舟","models/eecbd928-c4d2-4198-ae18-3d23a6f12480.gltf","thumbnails/eecbd928-c4d2-4198-ae18-3d23a6f12480.png","1.15","https://rh-canvas-files.xiaoyaoyou.com/default/director/124a8e34-a839-4902-8a26-5115d676aac1.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/3f0cd84f-255d-4f92-9be4-e7d06c12496e.png"
"交通工具","JT","bdc230bc-0286-4c07-a29a-a2a408cad3bf","帆船","models/bdc230bc-0286-4c07-a29a-a2a408cad3bf.gltf","thumbnails/bdc230bc-0286-4c07-a29a-a2a408cad3bf.png","4.28","https://rh-canvas-files.xiaoyaoyou.com/default/director/ba90bf59-e06b-45cb-a8df-004df88af54d.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/ce954fa1-afeb-4438-967d-a6c4b9db0e72.png"
"交通工具","JT","22359b35-afd3-44d1-98a0-126b873b1342","渔船","models/22359b35-afd3-44d1-98a0-126b873b1342.gltf","thumbnails/22359b35-afd3-44d1-98a0-126b873b1342.png","0.35","https://rh-canvas-files.xiaoyaoyou.com/default/director/f7a559f4-14d7-4925-9388-390f904c9dfe.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/341db305-db13-4080-8aff-f2a886d6e69d.png"
"交通工具","JT","57287143-faa6-47e5-88e0-f76416b75f86","飞船","models/57287143-faa6-47e5-88e0-f76416b75f86.gltf","thumbnails/57287143-faa6-47e5-88e0-f76416b75f86.png","5.13","https://rh-canvas-files.xiaoyaoyou.com/default/director/9d501eb6-73b0-4b95-a3c4-834da21f6ed1.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/8808b6f7-78a3-4c57-a18c-c531fd8db7a1.png"
"交通工具","JT","7930724c-83a4-4899-bc39-0062298c54a2","战舰","models/7930724c-83a4-4899-bc39-0062298c54a2.gltf","thumbnails/7930724c-83a4-4899-bc39-0062298c54a2.png","14.05","https://rh-canvas-files.xiaoyaoyou.com/default/director/f774c442-2f18-4171-a946-a2536cc1102c.gltf","https://rh-canvas-files.xiaoyaoyou.com/default/director/b5a30a75-fd3a-4654-910b-887a9027d4f1.png"
